Label_id,Text_id,Analysis,Date,Test_number,Replicate_count,batch,carbon_percent,chns_mass,config_asman_id,config_filename,container_number,datafile_asman_id,datafile_filename,hydrogen_percent,mass,method_asman_id,method_filename,nitrogen_percent,sulfur_percent,summary_asman_id,summary_filename
QAQC-CHEMLABSOLID-Sediment StandardsA-2704,PWDR7837591,CHNS,2018-02-12 01:06:22,110451491,0,f096b56b-9515-40cf-bbe4-d6d1189c0842,3.34999990463257,10.7976,45978111,IODP_CHNS_339_U1391A-batch1.eam,5,45978141,U1525A_run2_wtpct.XLS,0,10.7976,45961851,374_method.mth,0.180000007152557,0,45961861,374_method.SUM
QAQC-CHEMLABSOLID-Sediment StandardsA-2704,PWDR7837591,CHNS,2018-02-12 00:57:14,110451481,0,f096b56b-9515-40cf-bbe4-d6d1189c0842,3.34999990463257,21.4571,45978111,IODP_CHNS_339_U1391A-batch1.eam,7,45978141,U1525A_run2_wtpct.XLS,0,21.4571,45961851,374_method.mth,0.180000007152557,0,45961861,374_method.SUM
QAQC-CHEMLABSOLID-Sediment StandardsA-2704,PWDR7837591,CHNS,2018-02-12 00:48:28,110451271,0,f096b56b-9515-40cf-bbe4-d6d1189c0842,3.34999990463257,14.1488,45978111,IODP_CHNS_339_U1391A-batch1.eam,6,45978141,U1525A_run2_wtpct.XLS,0,14.1488,45961851,374_method.mth,0.180000007152557,0,45961861,374_method.SUM
QAQC-CHEMLABSOLID-Sediment StandardsA-2704,PWDR7837591,CHNS,2018-02-12 00:36:36,110451261,0,f096b56b-9515-40cf-bbe4-d6d1189c0842,3.34999990463257,3.4992,45978111,IODP_CHNS_339_U1391A-batch1.eam,3,45978141,U1525A_run2_wtpct.XLS,0,3.4992,45961851,374_method.mth,0.180000007152557,0.400000005960464,45961861,374_method.SUM
QAQC-CHEMLABSOLID-Sediment StandardsA-2704,PWDR7837591,CHNS,2018-02-12 00:18:29,110451251,0,f096b56b-9515-40cf-bbe4-d6d1189c0842,3.34999990463257,4.7138,45978111,IODP_CHNS_339_U1391A-batch1.eam,4,45978141,U1525A_run2_wtpct.XLS,0,4.7138,45961851,374_method.mth,0.180000007152557,0,45961861,374_method.SUM
QAQC-CHEMLABSOLID-Sediment StandardsA-2704,PWDR7837591,CHNS,2018-02-08 17:30:04,110394091,0,64b040c9-d8a0-4c4d-a9ef-dc67789115df,3.3525,11.5773,45731461,IODP_CHNS_339_U1391A-batch1.eam,43,45957721,374_U1524_run2_wtpct_upload.XLS,0,11.5773,45957701,374_method.mth,0.1764,0,45957711,374_method.SUM
QAQC-CHEMLABSOLID-Sediment StandardsA-2704,PWDR7837591,CHNS,2018-02-08 03:21:59,110369091,0,64b040c9-d8a0-4c4d-a9ef-dc67789115df,3.3757,12.7986,45731461,IODP_CHNS_339_U1391A-batch1.eam,20,45957721,374_U1524_run2_wtpct_upload.XLS,0,12.7986,45957701,374_method.mth,0.1828,0,45957711,374_method.SUM
QAQC-CHEMLABSOLID-Sediment StandardsA-2704,PWDR7837591,CHNS,2018-02-08 00:49:35,110363271,0,64b040c9-d8a0-4c4d-a9ef-dc67789115df,3.3500,19.3295,45731461,IODP_CHNS_339_U1391A-batch1.eam,7,45957721,374_U1524_run2_wtpct_upload.XLS,0,19.3295,45957701,374_method.mth,0.1800,0,45957711,374_method.SUM
QAQC-CHEMLABSOLID-Sediment StandardsA-2704,PWDR7837591,CHNS,2018-02-08 00:41:27,110363151,0,64b040c9-d8a0-4c4d-a9ef-dc67789115df,3.3500,15.0718,45731461,IODP_CHNS_339_U1391A-batch1.eam,6,45957721,374_U1524_run2_wtpct_upload.XLS,0,15.0718,45957701,374_method.mth,0.1800,0,45957711,374_method.SUM
QAQC-CHEMLABSOLID-Sediment StandardsA-2704,PWDR7837591,CHNS,2018-02-08 00:33:10,110362631,0,64b040c9-d8a0-4c4d-a9ef-dc67789115df,3.3500,11.6049,45731461,IODP_CHNS_339_U1391A-batch1.eam,5,45957721,374_U1524_run2_wtpct_upload.XLS,0,11.6049,45957701,374_method.mth,0.1800,0,45957711,374_method.SUM
QAQC-CHEMLABSOLID-Sediment StandardsA-2704,PWDR7837591,CHNS,2018-02-08 00:23:53,110362581,0,64b040c9-d8a0-4c4d-a9ef-dc67789115df,3.3500,7.5214,45731461,IODP_CHNS_339_U1391A-batch1.eam,4,45957721,374_U1524_run2_wtpct_upload.XLS,0,7.5214,45957701,374_method.mth,0.1800,0,45957711,374_method.SUM
QAQC-CHEMLABSOLID-Sediment StandardsA-2704,PWDR7837591,CHNS,2018-02-08 00:06:41,110362221,0,64b040c9-d8a0-4c4d-a9ef-dc67789115df,3.3500,1.4268,45731461,IODP_CHNS_339_U1391A-batch1.eam,3,45957721,374_U1524_run2_wtpct_upload.XLS,0,1.4268,45957701,374_method.mth,0.1800,0,45957711,374_method.SUM
QAQC-CHEMLABSOLID-Sediment StandardsA-2704,PWDR7837591,CHNS,2018-02-06 20:37:08,110323001,0,e5b3aa41-fcd7-4dd6-a8f2-d7ecd1cffee2,3.34723615646362,12.8713,45731461,IODP_CHNS_339_U1391A-batch1.eam,52,45853681,374_U1524_run1_wtpct.XLS,0,12.8713,45684261,374_method.mth,0.174252852797508,0,45731481,374_method.SUM
QAQC-CHEMLABSOLID-Sediment StandardsA-2704,PWDR7837591,CHNS,2018-02-06 18:30:18,110321991,0,e5b3aa41-fcd7-4dd6-a8f2-d7ecd1cffee2,3.31880331039429,11.8274,45731461,IODP_CHNS_339_U1391A-batch1.eam,39,45853681,374_U1524_run1_wtpct.XLS,0,11.8274,45684261,374_method.mth,0.171545043587685,0,45731481,374_method.SUM
QAQC-CHEMLABSOLID-Sediment StandardsA-2704,PWDR7837591,CHNS,2018-02-06 11:44:28,110306681,0,e5b3aa41-fcd7-4dd6-a8f2-d7ecd1cffee2,3.30533504486084,12.3076,45731461,IODP_CHNS_339_U1391A-batch1.eam,22,45853681,374_U1524_run1_wtpct.XLS,0,12.3076,45684261,374_method.mth,0.177012339234352,0,45731481,374_method.SUM
QAQC-CHEMLABSOLID-Sediment StandardsA-2704,PWDR7837591,CHNS,2018-02-05 21:10:14,110273511,0,e5b3aa41-fcd7-4dd6-a8f2-d7ecd1cffee2,3.34999990463257,20.2549,45731461,IODP_CHNS_339_U1391A-batch1.eam,7,45853681,374_U1524_run1_wtpct.XLS,0,20.2549,45684261,374_method.mth,0.180000007152557,0,45731481,374_method.SUM
QAQC-CHEMLABSOLID-Sediment StandardsA-2704,PWDR7837591,CHNS,2018-02-05 20:55:52,110272311,0,e5b3aa41-fcd7-4dd6-a8f2-d7ecd1cffee2,3.34999990463257,14.5158,45731461,IODP_CHNS_339_U1391A-batch1.eam,6,45853681,374_U1524_run1_wtpct.XLS,0,14.5158,45684261,374_method.mth,0.180000007152557,0,45731481,374_method.SUM
